"id","service","category","trigger","condition","if_action","else_action","severity","source_doc"
"FS-0071","firecrawl","fc_crawl","Agent calls /v2/crawl with a starting URL","crawl.webhook URL is unreachable (retry with backoff)","Resume or accept partial results if status != completed","Page on-call; capture crawl id; require human triage if crawl fails irrecoverably","medium","docs.firecrawl.dev/api-reference/endpoint/crawl-post; firecrawl.dev/blog/mastering-the-crawl-endpoint-in-firecrawl"
"FS-0072","firecrawl","fc_map","Agent calls /v2/map to list all URLs on a site","map.url is valid","Return URL list; pick top-K to scrape","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0073","firecrawl","fc_map","Agent calls /v2/map to list all URLs on a site","map.url is invalid (4xx)","Map empty - fall back to sitemap.xml or seed URLs","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0074","firecrawl","fc_map","Agent calls /v2/map to list all URLs on a site","map returns list of URLs","Back off and retry on 429","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0075","firecrawl","fc_map","Agent calls /v2/map to list all URLs on a site","map returns empty list (no links found / noindex / no follow)","Map results feed directly into /v2/scrape batch (one round trip)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0076","firecrawl","fc_map","Agent calls /v2/map to list all URLs on a site","map hits 429 (rate limit)","Map results feed directly into /v2/crawl (continue discovery)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0077","firecrawl","fc_map","Agent calls /v2/map to list all URLs on a site","map results feed into /scrape (URL discovery pipeline)","Return URL list; pick top-K to scrape","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0078","firecrawl","fc_map","Map returns empty list (no links found)","map.url is valid","Map empty - fall back to sitemap.xml or seed URLs","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0079","firecrawl","fc_map","Map returns empty list (no links found)","map.url is invalid (4xx)","Back off and retry on 429","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0080","firecrawl","fc_map","Map returns empty list (no links found)","map returns list of URLs","Map results feed directly into /v2/scrape batch (one round trip)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0081","firecrawl","fc_map","Map returns empty list (no links found)","map returns empty list (no links found / noindex / no follow)","Map results feed directly into /v2/crawl (continue discovery)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0082","firecrawl","fc_map","Map returns empty list (no links found)","map hits 429 (rate limit)","Return URL list; pick top-K to scrape","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0083","firecrawl","fc_map","Map returns empty list (no links found)","map results feed into /scrape (URL discovery pipeline)","Map empty - fall back to sitemap.xml or seed URLs","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0084","firecrawl","fc_map","Map hits 429 (rate limit)","map.url is valid","Back off and retry on 429","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0085","firecrawl","fc_map","Map hits 429 (rate limit)","map.url is invalid (4xx)","Map results feed directly into /v2/scrape batch (one round trip)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0086","firecrawl","fc_map","Map hits 429 (rate limit)","map returns list of URLs","Map results feed directly into /v2/crawl (continue discovery)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0087","firecrawl","fc_map","Map hits 429 (rate limit)","map returns empty list (no links found / noindex / no follow)","Return URL list; pick top-K to scrape","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0088","firecrawl","fc_map","Map hits 429 (rate limit)","map hits 429 (rate limit)","Map empty - fall back to sitemap.xml or seed URLs","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0089","firecrawl","fc_map","Map hits 429 (rate limit)","map results feed into /scrape (URL discovery pipeline)","Back off and retry on 429","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0090","firecrawl","fc_map","Map results feed into a subsequent /scrape (combine with crawl)","map.url is valid","Map results feed directly into /v2/scrape batch (one round trip)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0091","firecrawl","fc_map","Map results feed into a subsequent /scrape (combine with crawl)","map.url is invalid (4xx)","Map results feed directly into /v2/crawl (continue discovery)","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0092","firecrawl","fc_map","Map results feed into a subsequent /scrape (combine with crawl)","map returns list of URLs","Return URL list; pick top-K to scrape","Page on-call; require operator to seed URLs manually if map empty","low","docs.firecrawl.dev/api-reference/endpoint/map"
"FS-0093","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search.query is non-empty (natural language)","Return ranked results (full page content if scrapeOptions set)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0094","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search.query is empty (400 invalid query)","Set scrapeOptions to scrape each result in the same call (combined)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0095","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search.limit is 3 (default)","Set limit 1-20 (default 3, max 20)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0096","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search.limit is 20 (max)","Back off and retry on 429","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0097","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search.limit > 20 (clamped or rejected)","Use keyless mode from MCP / CLI / SDK on Cloud (free, IP-capped)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0098","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search.scrapeOptions is set (combined search+scrape)","Stop on keyless daily cap (429) - surface to operator","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0099","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search.scrapeOptions is unset (return snippets only)","Refine query if 0 results (broader terms, remove quotes)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0100","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search returns 0 results (query too narrow)","Charge 2 credits per 10 results (rounded up) - surface cost to user","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0101","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search returns 1-10 results","Charge scrape cost on top of search cost (transparency)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0102","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search returns 11-20 results","Return ranked results (full page content if scrapeOptions set)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0103","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search is keyless (MCP / CLI / SDK on Cloud with research index)","Set scrapeOptions to scrape each result in the same call (combined)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0104","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","keyless search hits IP daily request cap (429)","Set limit 1-20 (default 3, max 20)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0105","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","keyless search hits IP daily credits cap (429)","Back off and retry on 429","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0106","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search costs 2 credits per 10 results (rounded up)","Use keyless mode from MCP / CLI / SDK on Cloud (free, IP-capped)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0107","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search+scrape charges scrape cost on top","Stop on keyless daily cap (429) - surface to operator","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0108","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search 5xx (transient, retry)","Refine query if 0 results (broader terms, remove quotes)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0109","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search 401 (bad API key)","Charge 2 credits per 10 results (rounded up) - surface cost to user","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0110","firecrawl","fc_search","Agent calls /v2/search with a natural-language query","search 402 (subscription lapsed)","Charge scrape cost on top of search cost (transparency)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0111","firecrawl","fc_search","Search adds scrapeOptions to scrape each result (combined search+scrape)","search.query is non-empty (natural language)","Set scrapeOptions to scrape each result in the same call (combined)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0112","firecrawl","fc_search","Search adds scrapeOptions to scrape each result (combined search+scrape)","search.query is empty (400 invalid query)","Set limit 1-20 (default 3, max 20)","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
"FS-0113","firecrawl","fc_search","Search adds scrapeOptions to scrape each result (combined search+scrape)","search.limit is 3 (default)","Back off and retry on 429","Page on-call; do not retry 4xx blindly (bad query, not transient)","low","docs.firecrawl.dev/api-reference/endpoint/search; firecrawl.dev/blog/mastering-firecrawl-search-endpoint; docs.firecrawl.dev/rate-limits"
